Points:0,Points:1,Points:2,U:0,U:1,U:2,Umag,Vorticity:0,Vorticity:1,Vorticity:2,Q,Qstar
0.04342693463,-1.104990125,0,0.4169220626,-0.04097409919,-1.271271755e-09,0.4189306424,1.501860969e-09,6.642235206e-09,4.384468079,0.7750777602,3.100311041
-2.347897906e-17,-1.105739951,0,0.4558289051,-0.05787977576,-9.856722105e-10,0.4594889108,-9.256617695e-11,6.368417793e-09,4.655818462,0.9777829051,3.91113162
0.807698667,-0.807698667,0,-0.02642211132,-0.03533922136,-1.16462493e-08,0.044124693,3.657415704e-08,4.342022564e-08,-0.01454814151,-0.02015814371,-0.08063257486
0.7754485011,-0.8388987184,0,-0.02101109549,-0.03110751882,-1.126268678e-08,0.03753856498,3.423307504e-08,4.466804882e-08,0.105189696,-0.02785151452,-0.1114060581
0.7419884801,-0.8687978983,0,-0.01334494352,-0.02688341215,-1.076686829e-08,0.03001341978,3.153760986e-08,4.302645351e-08,0.2394746095,-0.03610043973,-0.1444017589
0.7073710561,-0.8973492384,0,-0.003098354209,-0.02253799327,-1.017322049e-08,0.0227499657,2.856791426e-08,4.05385272e-08,0.3894476295,-0.0456921719,-0.1827686876
0.6716504097,-0.9245079756,0,0.01002113335,-0.01801254228,-9.506343268e-09,0.02061249119,2.551605149e-08,3.768326451e-08,0.5567389131,-0.05713202432,-0.2285280973
0.6348825693,-0.9502314925,0,0.02626733482,-0.01333705708,-8.793007211e-09,0.02945929344,2.251051612e-08,3.449926922e-08,0.7428290248,-0.07021831721,-0.2808732688
0.5971252322,-0.9744794369,0,0.04585219175,-0.00863227807,-8.05929723e-09,0.04665768653,1.964889229e-08,3.118637082e-08,0.9486880302,-0.08384335786,-0.3353734314
0.5584375858,-0.9972138405,0,0.06893780082,-0.004101267084,-7.328263329e-09,0.06905968994,1.712374242e-08,2.787433573e-08,1.174524307,-0.09597925097,-0.3839170039
0.5188802481,-1.018399,0,0.09562425315,-1.310589141e-05,-6.618045667e-09,0.09562425405,1.489827461e-08,2.468029336e-08,1.419573903,-0.1038410515,-0.4153642058
0.4785152376,-1.038001776,0,0.1259349138,0.00331745483,-5.941263037e-09,0.1259786014,1.284735252e-08,2.169309532e-08,1.681997538,-0.1041399464,-0.4165597856
0.4374059439,-1.055991292,0,0.1598016173,0.005550923757,-5.305459627e-09,0.1598979976,1.11361711e-08,3.421583017e-10,1.958897352,-0.09335295111,-0.3734118044
0.3956167102,-1.072339416,0,0.1970528215,0.006342498586,-4.714067359e-09,0.1971548674,9.316420524e-09,-3.003002647e-08,2.246440172,-0.06797252595,-0.2718901038
0.3532131612,-1.087020516,0,0.2374073118,0.005359007977,-4.167287404e-09,0.2374677887,7.113575506e-09,-2.284425626e-08,2.540069342,-0.02473287471,-0.09893149883
0.3102616966,-1.100011587,0,0.2804745436,0.002293368569,-3.662809833e-09,0.2804839196,5.302543293e-09,3.27877836e-09,2.834756851,0.03916725144,0.1566690058
0.2668297589,-1.111292243,0,0.325761795,-0.003123023082,-3.19645066e-09,0.3257767646,3.868967369e-09,1.108862691e-08,3.125267982,0.1258329451,0.5033317804
0.222985357,-1.120844722,0,0.3726876676,-0.01110982802,-2.7626883e-09,0.372853223,2.263433663e-09,9.894135289e-09,3.406439066,0.2364177406,0.9456709623
0.1343348771,-1.134708405,0,0.4688154459,-0.03537509218,-1.969133523e-09,0.4701481888,-5.378358869e-10,8.338992608e-09,3.921845675,0.5277458429,2.110983372
0.04486608133,-1.141515732,0,0.5631574392,-0.07099828124,-1.243956604e-09,0.567615237,-2.814547928e-09,7.593387252e-09,4.350277901,0.8998333216,3.599333286
-3.158764862e-17,-1.142258167,0,0.6081206203,-0.09298555553,-9.017940283e-10,0.6151885908,-3.813843019e-09,7.403241131e-09,4.523168564,1.102938414,4.411753654
0.8339839578,-0.8339839578,0,-0.02085784636,-0.03873753175,-1.36600864e-08,0.04399597847,2.82201178e-08,4.012616373e-08,0.1320913136,-0.03932254761,-0.1572901905
0.8007032275,-0.866225183,0,-0.01193577424,-0.03320896253,-1.315426701e-08,0.03528877865,2.505857033e-08,3.984045804e-08,0.2771312296,-0.04673163593,-0.1869265437
0.7661699057,-0.8971214294,0,5.510573828e-05,-0.0279147625,-1.250864212e-08,0.02791481689,2.170960656e-08,3.828074568e-08,0.4376477897,-0.05447370186,-0.2178948075
0.7304384112,-0.9266240001,0,0.01543635037,-0.02273596264,-1.174563202e-08,0.0274809918,1.830711938e-08,3.65879167e-08,0.6135526299,-0.06355081499,-0.2542032599
0.6935648918,-0.9546864629,0,0.03449501097,-0.01761891879,-1.089863666e-08,0.03873412038,1.506029434e-08,3.428441531e-08,0.8056493998,-0.07453993708,-0.2981597483
0.6556074023,-0.9812647104,0,0.05746010691,-0.01261203922,-1.000299399e-08,0.0588279476,1.209578393e-08,3.15453903e-08,1.014561176,-0.08701915294,-0.3480766118
0.6166256666,-1.006316781,0,0.08450184762,-0.007865572348,-9.092626208e-09,0.08486712839,9.489722785e-09,2.864075554e-08,1.240302563,-0.09943933785,-0.3977573514
0.5766810179,-1.029803395,0,0.1157197356,-0.003621607088,-8.196473722e-09,0.1157763933,7.429161286e-09,2.570572732e-08,1.48197782,-0.109166123,-0.4366644919
0.535836339,-1.051687479,0,0.1511248648,-0.0001932710729,-7.336151686e-09,0.1511249884,5.753133081e-09,2.286546419e-08,1.737539649,-0.1127758324,-0.4511033297
0.4941558838,-1.071934581,0,0.1906204075,0.002062051091,-6.525409546e-09,0.1906315603,4.176639479e-09,2.021605816e-08,2.003720999,-0.1064577848,-0.4258311391
0.451705277,-1.090512872,0,0.2339850962,0.002770593157,-5.771160438e-09,0.2340014988,2.750333072e-09,8.503571181e-09,2.276147366,-0.0864181444,-0.3456725776
0.4085513055,-1.107393146,0,0.2808640003,0.001567739062,-5.075159404e-09,0.2808683757,1.433866581e-09,-2.155802292e-08,2.549598932,-0.04923291132,-0.1969316453
0.364761889,-1.122548819,0,0.3307693005,-0.001880547847,-4.43560122e-09,0.3307746462,2.650230591e-10,-3.270937654e-08,2.818367958,0.007856367156,0.03142546862
0.3204059601,-1.13595593,0,0.3830911219,-0.007860793732,-3.848443786e-09,0.3831717627,-8.227164505e-10,-6.326122737e-09,3.076646566,0.08669149876,0.346765995
0.2755532861,-1.147593498,0,0.437117517,-0.0165993385,-3.30821881e-09,0.4374325796,-1.842813901e-09,1.102236524e-08,3.3189013,0.1879875958,0.7519503832
0.2302745134,-1.157443285,0,0.4920611382,-0.02825357392,-2.808450583e-09,0.4928716142,-2.723484993e-09,1.001622962e-08,3.540213108,0.3111440241,1.244576097
0.1846408695,-1.165489554,0,0.5470926762,-0.04290612414,-2.342297245e-09,0.5487725684,-3.530933768e-09,9.264278233e-09,3.736512184,0.4540876448,1.816350579
